category,lemmatized_text
cs.AI,occasional need return shallow point search tree existing backtracking method sometimes erase meaningful progress toward solving search problem paper present method backtrack point moved deeper search space thereby avoiding difficulty technique developed variant dependencydirected backtracking us polynomial space still providing useful control information retaining completeness guarantee provided earlier approach
cs.AI,market price system constitute wellunderstood class mechanism certain condition provide effective decentralization decision making minimal communication overhead marketoriented programming approach distributed problem solving derive activity resource allocation set computational agent computing competitive equilibrium artificial economy walras provides basic construct defining computational market structure protocol deriving corresponding price equilibrium particular realization approach form multicommodity flow problem see careful construction decision process according economic principle lead efficient distributed resource allocation behavior system meaningfully analyzed economic term
cs.AI,describe extensive study search gsat approximation procedure propositional satisfiability gsat performs greedy hillclimbing number satisfied clause truth assignment experiment provide complete picture gsats search previous account describe detail two phase search rapid hillclimbing followed long plateau search demonstrate applied randomly generated sat problem simple scaling problem size mean number satisfied clause mean branching rate result allow u make detailed numerical conjecture length hillclimbing phase average gradient phase conjecture average score average branching rate decay exponentially plateau search end showing result used direct future theoretical analysis work provides case study computer experiment used improve understanding theoretical property algorithm
cs.AI,real logic programmer normally use cut effective learning procedure logic program able deal cut predicate procedural meaning clause containing cut learned using extensional evaluation method done learning system hand searching space possible program instead space independent clause unfeasible alternative solution generate first candidate base program cover positive example make consistent inserting cut appropriate problem learning program cut investigated seems natural reasonable approach generalize scheme investigate difficulty arise major shortcoming actually caused general need intensional evaluation conclusion analysis paper suggests precise technical ground learning cut difficult current induction technique probably restricted purely declarative logic language
cs.AI,support goal allowing user record retrieve information paper describes interactive notetaking system penbased computer two distinctive feature first actively predicts user going write second automatically construct custom buttonbox user interface request system example learningapprentice software agent machine learning component characterizes syntax semantics user information performance system us learned information generate completion string construct user interface description online appendix people like record information paper initially efficient lack flexibility recording information computer le efficient powerful new note taking softwre user record information directly computer behind interface agent act user help provides default construct custom user interface demonstration quicktime movie note taking agent action file binhexed selfextracting archive macintosh utility binhex available macarchiveumichedu quicktime available ftpapplecom dtsmacsyssoftquicktime
cs.AI,terminological knowledge representation system tkrss tool designing using knowledge base make use terminological language concept language analyze theoretical point view tkrs whose capability go beyond one presently available tkrss new feature studied often required practical application summarized three main point first consider highly expressive terminological language called alcnr including general complement concept number restriction role conjunction second allow express inclusion statement general concept terminological cycle particular case third prove decidability number desirable tkrsdeduction service like satisfiability subsumption instance checking sound complete terminating calculus reasoning alcnrknowledge base calculus extends general technique constraint system byproduct proof get also result inclusion statement alcnr simulated terminological cycle descriptive semantics adopted
cs.AI,formalism presented computing organizing action autonomous agent dynamic environment introduce notion teleoreactive tr program whose execution entail construction circuitry continuous computation parameter condition agent action based addition continuous feedback tr program support parameter binding recursion primary difference tr program many circuitbased system circuitry tr program compact constructed run time thus anticipate contingency might arise possible run addition tr program intuitive easy write written form compatible automatic planning learning method briefly describe experimental application tr program control simulated actual mobile robot
cs.AI,learning past tense english verb seemingly minor aspect language acquisition generated heated debate since become landmark task testing adequacy cognitive modeling several artificial neural network anns implemented challenge better symbolic model posed paper present generalpurpose symbolic pattern associator spa based upon decisiontree learning algorithm id conduct extensive headtohead comparison generalization ability ann model spa different representation conclude spa generalizes past tense unseen verb better ann model wide margin offer insight case also discus new default strategy decisiontree learning algorithm
cs.AI,ability identify interesting repetitive substructure essential component discovering knowledge structural data describe new version subdue substructure discovery system based minimum description length principle subdue system discovers substructure compress original data represent structural concept data replacing previouslydiscovered substructure data multiple pass subdue produce hierarchical description structural regularity data subdue us computationallybounded inexact graph match identifies similar identical instance substructure find approximate measure closeness two substructure computational constraint addition minimum description length principle background knowledge used subdue guide search towards appropriate substructure experiment variety domain demonstrate subdues ability find substructure capable compressing original data discover structural concept important domain description online appendix compressed tar file containing subdue discovery system written c program accepts input database represented graph form output discovered substructure corresponding value
cs.AI,theory revision problem problem best go revising deficient domain theory using information contained example expose inaccuracy paper present approach theory revision problem propositional domain theory approach described called ptr us probability associated domain theory element numerically track flow proof theory allows u measure precise role clause literal allowing preventing desired undesired derivation given example information used efficiently locate repair flawed element theory ptr proved converge theory correctly classifies example shown experimentally fast accurate even deep theory
cs.AI,report series experiment decision tree consistent training data constructed experiment run gain understanding property set consistent decision tree factor affect accuracy individual tree particular investigated relationship size decision tree consistent training data accuracy tree test data experiment performed massively parallel maspar computer result experiment several artificial two real world problem indicate many problem investigated smaller consistent decision tree average le accurate average accuracy slightly larger tree
cs.AI,paper analyzes correctness subsumption algorithm used classic description logicbased knowledge representation system used practical application order deal efficiently individual classic description developer use algorithm incomplete respect standard modeltheoretic semantics description logic provide variant semantics description respect current implementation complete independently motivated soundness completeness polynomialtime subsumption algorithm established using description graph abstracted version implementation structure used classic independent interest
cs.AI,paper describe modify gsat applied nonclausal formula idea use particular score function give number clause cnf conversion formula false given truth assignment value computed linear time without constructing cnf conversion proposed methodology applies variant gsat proposed far
cs.AI,given knowledge base kb containing firstorder statistical fact consider principled method called randomworlds method computing degree belief formula phi hold given kb reasoning world system consisting n individual consider possible world firstorder model domain n satisfy kb compute fraction phi true define degree belief asymptotic value fraction n grows large show vocabulary underlying phi kb us constant unary predicate naturally associate entropy world n grows larger many world higher entropy therefore use maximumentropy computation compute degree belief result similar spirit previous work physic artificial intelligence far general equal interest result limitation scope importantly restriction unary predicate seems necessary although randomworlds method make sense general connection maximum entropy seems disappear nonunary case observation suggest unexpected limitation applicability maximumentropy method
cs.AI,information extraction task automatically picking information interest unconstrained text information interest usually extracted two step first sentence level processing locates relevant piece information scattered throughout text second discourse processing merges coreferential information generate output first step piece information locally identified without recognizing relationship among key word search simple pattern search achieve purpose second step requires deeper knowledge order understand relationship among separately identified piece information previous information extraction system focused first step partly required link piece information piece link extracted piece information map onto structured output format complex discourse processing essential paper report japanese information extraction system merges information using pattern matcher discourse processor evaluation result show high level system performance approach human performance
cs.AI,article describes new system induction oblique decision tree system oc combine deterministic hillclimbing two form randomization find good oblique split form hyperplane node decision tree oblique decision tree method tuned especially domain attribute numeric although adapted symbolic mixed symbolicnumeric attribute present extensive empirical study using real artificial data analyze ocs ability construct oblique tree smaller accurate axisparallel counterpart also examine benefit randomization construction oblique decision tree
cs.AI,paper introduces framework planning learning agent given goal achieve environment whose behavior partially known agent discus tractability various plandesign process show large natural class planning learning system plan presented verified reasonable time however coming algorithmically plan even simple class system apparently intractable emphasize role offline plandesign process show natural case verification projection part carried efficient algorithmic manner
cs.AI,vast amount online text available led renewed interest information extraction ie system analyze unrestricted text producing structured representation selected information text paper present novel approach us machine learning acquire knowledge higher level ie processing wrapup trainable ie discourse component make intersentential inference identifies logical relation among information extracted text previous corpusbased approach limited lower level processing partofspeech tagging lexical disambiguation dictionary construction wrapup fully trainable automatically decides classifier needed even derives feature set classifier automatically performance equal partially trainable discourse module requiring manual customization domain
cs.AI,paper multidisciplinary review empirical statistical learning graphical model perspective wellknown example graphical model include bayesian network directed graph representing markov chain undirected network representing markov field graphical model extended model data analysis empirical learning using notation plate graphical operation simplifying manipulating problem provided including decomposition differentiation manipulation probability model exponential family two standard algorithm schema learning reviewed graphical framework gibbs sampling expectation maximization algorithm using operation schema popular algorithm synthesized graphical specification includes version linear regression technique feedforward network learning gaussian discrete bayesian network data paper concludes sketching implication data analysis summarizing popular algorithm fall within framework presented main original contribution decomposition technique demonstration graphical model provide framework understanding developing complex learning algorithm
cs.AI,many year intuition underlying partialorder planning largely taken granted past year renewed interest fundamental principle underlying paradigm paper present rigorous comparative analysis partialorder totalorder planning focusing two specific planner directly compared show subtle assumption underly widespread intuition regarding supposed efficiency partialorder planning instance superiority partialorder planning depend critically upon search strategy structure search space understanding underlying assumption crucial constructing efficient planner
cs.AI,multiclass learning problem involve finding definition unknown function fx whose range discrete set containing k gt value ie k class definition acquired studying collection training example form xi f xi existing approach multiclass learning problem include direct application multiclass algorithm decisiontree algorithm c cart application binary concept learning algorithm learn individual binary function k class application binary concept learning algorithm distributed output representation paper compare three approach new technique errorcorrecting code employed distributed output representation show output representation improve generalization performance c backpropagation wide range multiclass learning task also demonstrate approach robust respect change size training sample assignment distributed representation particular class application overfitting avoidance technique decisiontree pruning finally show thatlike methodsthe errorcorrecting code technique provide reliable class probability estimate taken together result demonstrate errorcorrecting output code provide generalpurpose method improving performance inductive learning program multiclass problem
cs.AI,paradigm transformational planning casebased planning plan debugging involve process known plan adaptation modifying repairing old plan solves new problem paper provide domainindependent algorithm plan adaptation demonstrate sound complete systematic compare adaptation algorithm literature approach based view planning searching graph partial plan generative planning start graph root move node node using planrefinement operator planning adaptation library plan arbitrary node plan graph starting point search planadaptation algorithm apply refinement operator available generative planner also retract constraint step plan algorithm completeness ensures adaptation algorithm eventually search entire graph systematicity ensures without redundantly searching part graph
cs.AI,temporal difference td method constitute class method learning prediction multistep prediction problem parameterized recency factor lambda currently important application method temporal credit assignment reinforcement learning well known reinforcement learning algorithm ahc qlearning may viewed instance td learning paper examines issue efficient general implementation tdlambda arbitrary lambda use reinforcement learning algorithm optimizing discounted sum reward traditional approach based eligibility trace argued suffer inefficiency lack generality ttd truncated temporal difference procedure proposed alternative indeed approximates tdlambda requires little computation per action used arbitrary function representation method idea derived fairly simple new probably unexplored far encouraging experimental result presented suggesting using lambda gt ttd procedure allows one obtain significant learning speedup essentially cost usual td learning
cs.AI,paper introduces icet new algorithm costsensitive classification icet us genetic algorithm evolve population bias decision tree induction algorithm fitness function genetic algorithm average cost classification using decision tree including cost test feature measurement cost classification error icet compared three algorithm costsensitive classification eg csid idx also c classifies without regard cost five algorithm evaluated empirically five realworld medical datasets three set experiment performed first set examines baseline performance five algorithm five datasets establishes icet performs significantly better competitor second set test robustness icet variety condition show icet maintains advantage third set look icets search bias space discovers way improve search
cs.AI,theory revision integrates inductive learning background knowledge combining training example coarse domain theory produce accurate theory two challenge theory revision theoryguided system face first representation language appropriate initial theory may inappropriate improved theory original representation may concisely express initial theory accurate theory forced use representation may bulky cumbersome difficult reach second theory structure suitable coarse domain theory may insufficient finetuned theory system produce small local change theory limited value accomplishing complex structural alteration may required consequently advanced theoryguided learning system require flexible representation flexible structure analysis various theory revision system theoryguided learning system reveals specific strength weakness term two desired property designed capture underlying quality system new system us theoryguided constructive induction experiment three domain show improvement previous theoryguided system lead study behavior limitation potential theoryguided constructive induction
cs.AI,many study carried order increase search efficiency constraint satisfaction problem among make use structural property constraint network others take account semantic property constraint generally assuming constraint posse given property paper propose new decomposition method benefiting semantic property functional constraint bijective constraint structural property network furthermore constraint need functional show condition existence solution guaranteed first characterize particular subset variable name root set introduce pivot consistency new local consistency weak form path consistency achieved ond complexity instead ond path consistency present associated property particular show consistent instantiation root set linearly extended solution lead presentation aforementioned new method solving decomposing functional csps
cs.AI,study process multiagent reinforcement learning context load balancing distributed system without use either central coordination explicit communication first define precise framework study adaptive load balancing important feature stochastic nature purely local information available individual agent given framework show illuminating result interplay basic adaptive behavior parameter effect system efficiency investigate property adaptive load balancing heterogeneous population address issue exploration v exploitation context finally show naive use communication may improve might even harm system efficiency
cs.AI,since inception artificial intelligence relied upon theoretical foundation centered around perfect rationality desired property intelligent system argue others done foundation inadequate imposes fundamentally unsatisfiable requirement result arisen wide gap theory practice ai hindering progress field propose instead property called bounded optimality roughly speaking agent boundedoptimal program solution constrained optimization problem presented architecture task environment show construct agent property simple class machine architecture broad class realtime environment illustrate result using simple model automated mail sorting facility also define weaker property asymptotic bounded optimality abo generalizes notion optimality classical complexity theory construct universal abo program ie program abo matter realtime constraint applied universal abo program used building block complex system conclude discussion prospect bounded optimality theoretical basis ai relate similar trend philosophy economics game theory
cs.AI,present algorithm learn certain class functionfree recursive logic program polynomial time equivalence query particular show single kary recursive constantdepth determinate clause learnable twoclause program consisting one learnable recursive clause one constantdepth determinate nonrecursive clause also learnable additional basecase oracle assumed result immediately imply paclearnability class although class learnable recursive program constrained shown companion paper maximally general generalizing either class natural way lead computationally difficult learning problem thus taken together companion paper paper establishes boundary efficient learnability recursive logic program
cs.AI,companion paper shown class constantdepth determinate kary recursive clause efficiently learnable paper present negative result showing natural generalization class hard learn valiants model paclearnability particular show following program class cryptographically hard learn program unbounded number constantdepth linear recursive clause program one constantdepth determinate clause containing unbounded number recursive call program one linear recursive clause constant locality result immediately imply nonlearnability general class program also show learning constantdepth determinate program either two linear recursive clause one linear recursive clause one nonrecursive clause hard learning boolean dnf together positive result companion paper negative result establish boundary efficient learnability recursive functionfree clause
cs.AI,evidence leastcommitment planner efficiently handle planning problem involve difficult goal interaction evidence led common belief delayedcommitment best possible planning strategy however recently found evidence eagercommitment planner handle variety planning problem efficiently particular difficult operator choice resigned futility trying find universally successful planning strategy devised planner used study domain problem best planning strategy article introduce new planning algorithm flecs us flexible commitment strategy respect planstep ordering able use strategy delayedcommitment eagercommitment combination delayed eager operatorordering commitment allows flecs take advantage benefit explicitly using simulated execution state reasoning planning constraint flecs vary commitment strategy across different problem domain also course single planning problem flecs represents novel contribution planning explicitly provides choice commitment strategy use planning flecs provides framework investigate mapping planning domain problem efficient planning strategy
cs.AI,paper present method inducing logic program example learns new class concept called firstorder decision list defined ordered list clause ending cut method called foidl based foil quinlan employ intensional background knowledge avoids need explicit negative example particularly useful problem involve rule specific exception learning pasttense english verb task widely studied context symbolicconnectionist debate foidl able learn concise accurate program problem significantly fewer example previous method connectionist symbolic
cs.AI,ion one promising approach improve performance problem solver several domain abstraction dropping sentence domain description used hierarchical planner proven useful paper present example illustrate significant drawback abstraction dropping sentence overcome drawback propose general view abstraction involving change representation language developed new abstraction methodology related sound complete learning algorithm allows complete change representation language planning case concrete abstract however achieve powerful change representation language abstract language well rule describe admissible way abstracting state must provided domain model new abstraction approach core paris plan abstraction refinement integrated system system abstract planning case automatically learned given concrete case empirical study domain process planning mechanical engineering show significant advantage proposed reasoning abstract case classical hierarchical planning
cs.AI,identifying inaccurate data long regarded significant difficult problem ai paper present new method identifying inaccurate data basis qualitative correlation among related data first introduce definition related data qualitative correlation among related data put forward new concept called support coefficient function scf scf used extract represent calculate qualitative correlation among related data within dataset propose approach determining dynamic shift interval inaccurate data approach calculating possibility identifying inaccurate data respectively approach based scf finally present algorithm identifying inaccurate data using qualitative correlation among related data confirmatory disconfirmatory evidence developed practical system interpreting infrared spectrum applying method fully tested system several hundred real spectrum experimental result show method significantly better conventional method used many similar system
cs.AI,learning reasoning aspect considered intelligence study within ai separated historically learning topic machine learning neural network reasoning falling classical symbolic ai however learning reasoning many way interdependent paper discus nature interdependency proposes general framework called flare combine inductive learning using prior knowledge together reasoning propositional setting several example test framework presented including classical induction many important reasoning protocol two simple expert system
cs.AI,paper study problem ergodicity transition probability matrix markovian model hidden markov model hmms make difficult task learning represent longterm context sequential data phenomenon hurt forward propagation longterm context information well learning hidden state representation represent longterm context depends propagating credit information backwards time using result markov chain theory show problem diffusion context credit reduced transition probability approach ie transition probability matrix sparse model essentially deterministic result found paper apply learning approach based continuous optimization gradient descent baumwelch algorithm
